area,price
1567,177067.5
3345,511748.2
3722,404096.67
2783,357916.31
2949,362409.54
3569,470465.83
2127,266989.7
3102,552358.21
4383,498456.07
2233,312793.92
4645,610494.96
1483,242170.88
1797,196578.89
4066,457838.93
3999,287845.59
2925,526875.28
1227,225241.01
1411,259062.2
2781,553879.97
2832,406783.56
1222,15436.18
2734,284620.16
4154,413965.48
1009,50333.29
2797,294769.76
4591,563103.16
1450,156145.14
1422,260242.67
3949,520062.9
2350,429027.48
4079,510138.29
2057,273714.49
3008,454979.25
2245,169397.15
1699,384788.67
2932,296783.36
4827,488853.44
1047,113073.42
1196,156960.74
2058,329510.96
3848,557068.1
4440,475387.95
1370,313314.73
2056,377639.1
3925,388715.93
1132,59710.19
1574,137237.91
2331,354509.0
2705,231845.97
4651,585841.16
1310,39059.01
1185,259400.45
2633,368487.04
3959,357630.97
4345,563140.45
1846,237399.53
3331,351811.47
4978,580379.75
4774,555579.52
4858,439133.99
4796,547916.25
3397,365154.99
4830,546683.26
1033,187028.1
3569,366407.62
3010,437226.56
2959,329671.61
1404,251432.98
1620,204615.77
1716,236826.65
2361,448060.85
4761,617630.54
4558,578956.47
2842,126548.95
4913,623277.29
2245,185820.47
1127,208908.53
4645,734120.22
4726,469091.26
2289,293075.22
1077,42901.01
3312,419949.89
2910,371160.12
2407,334610.82
2581,377832.17
4488,552924.49
3236,224842.33
4823,399245.9
1293,270188.56
4260,332798.72
2921,434478.04
1663,202932.35
4920,373513.9
2218,316503.46
1560,260291.64
1126,213203.1
1751,231723.39
4239,648138.99
2683,151621.25
3541,521852.77
4972,439408.8
4082,617197.77
1611,303503.94
4064,532105.22
3172,252936.97
1849,111906.04
3927,466788.89
1749,344229.57
3682,458922.35
3154,434310.93
3387,386099.48
4507,543393.24
1337,73462.68
1184,314120.88
1773,315018.28
3123,449885.27
3970,380317.42
2660,271140.04
1991,198802.79
3124,550803.22
2775,379558.87
4145,294198.1
1166,210333.28
3097,476682.49
3422,467629.76
4369,547871.33
1037,78077.92
4044,443502.28
1423,263082.07
3125,308888.07
1228,116917.73
1657,108195.66
1283,210068.49
1399,272706.52
4227,457770.36
2531,314073.27
4682,534595.94
4998,390223.1
2239,392361.58
3056,510378.74
1233,179981.14
2589,241251.37
2639,393400.25
1312,245713.84
1349,116676.58
3742,312706.81
4583,406982.33
2944,330625.6
4494,610328.48
1511,127993.73
4475,589404.51
2659,359583.0
3752,567658.52
3766,330577.79
1743,172228.59
4467,497754.76
2389,221053.02
4513,622057.02
3125,526902.8
1732,284121.52
2111,174066.23
3385,597923.94
2930,282731.19
3619,467292.26
3756,452745.26
2376,300304.11
1795,316811.16
1472,239939.33
3808,288822.91
4493,458760.14
1511,106071.63
1700,299805.32
4463,510834.66
1895,168155.47
4253,464286.61
3741,558848.82
2313,64483.52
2327,171133.07
3237,432654.38
3234,330767.52
4556,600693.77
2011,262401.28
3255,280723.72
4517,576428.38
4061,336169.25
3646,439559.85
2724,211229.4
2916,533054.56
2718,271100.72
1255,218960.92
4617,615085.35
4200,523611.37
3705,477089.23
2752,257609.27
1425,71557.83
1673,164654.39
1197,295558.8
1631,298715.06
3463,329298.37
1815,268444.06
3941,300639.41
2916,457401.45
2961,343221.52
1683,385338.97
3074,328503.28
2911,409746.41
4158,294739.38
1529,421944.92
3737,459234.62
3982,403818.83
3754,224677.82
3941,277461.87
4966,533436.24
1805,382524.54
1014,264063.9
4937,697755.07
2694,454265.25
3089,386944.79
2522,347121.5
2499,203018.86
2954,432382.3
3114,340826.17
3973,486403.54
4688,628821.05
2804,425855.59
4289,481871.71
1996,193186.89
2692,314581.52
4063,552709.02
1444,357875.73
3185,347876.03
2829,233042.51
3920,515007.94
1784,357146.14
3570,401428.57
3617,467640.52
2062,258916.61
3548,435471.0
4027,321837.89
1131,165158.08
3278,514895.68
4655,356025.79
2829,407965.07
3469,162138.66
2030,356629.05
3728,471502.69
4590,393321.84
2972,462493.05
2257,202114.88
1586,97605.34
2611,350809.28
4862,347418.01
2064,286360.96
2167,290080.76
4212,349237.35
3587,455602.91
3418,555291.04
3274,457278.12
3223,318103.78
2324,394731.66
3148,225474.15
1283,300341.05
2344,465938.5
2436,76972.12
1207,46915.73
3773,344149.14
3847,264867.34
3746,354811.67
1943,273530.56
1472,122724.38
4294,425048.73
1068,324897.7
1380,249859.89
1606,85985.67
4387,384233.77
3544,426434.71
2307,196061.08
3947,334986.53
3231,410406.4
2197,151706.14
4826,412560.7
3896,372199.4
1422,196657.93
3003,416093.63
3944,428334.57
3293,450933.65
2133,298108.27
1063,262043.31
2637,238460.65
1898,276791.06
2368,465929.43
1215,303822.18
4290,552801.05
4499,476143.05
2275,180839.15
2683,331049.2
2223,238640.49
2490,269659.13
3810,566076.25
2453,208532.31
2659,340076.4
4182,488883.94
2789,316882.07
2106,472729.54
2517,428358.99
4107,468270.96
1281,86456.38
2979,318845.48
1985,231449.68
4884,488003.49
4735,528599.67
3932,347280.2
